Name,SSN,Salary,Address,Dname,Experience
Harsha,5000,30000,Bangalore,ISE,5
Anu,5001,35000,Chennai,CSE,4
Appu,5002,60000,Delhi,ECE,6
Jagga,5003,70000,Bangalore,EEE,7
Abhi,5004,65000,Mumbai,MEC,3
Shreyas,5005,120000,Chennai,ISE,5
Aditi,5006,97000,Delhi,AER,6
Abhiniti,5007,90000,Mumbai,ISE,3
Srinidhi,5008,95000,Bangalore,CSE,5
Neha,5009,98000,Bangalore,EEE,5
Navya,5010,75000,Bangalore,ECE,5
Aishu,5011,65000,Bangalore,MEC,3
Shaista,5012,54000,Delhi,ISE,5
Sowmya,5013,64000,Mumbai,CSE,6
Sarah,5014,64000,Bangalore,AER,4
Aadya,5015,75000,Delhi,MEC,2
Vicky,5016,57000,Mumbai,ISE,5
Aashitha,5017,74330,Bangalore,ISE,7
Sreenitha,5018,56000,Bangalore,ISE,5
Poorvi,5019,65000,Mumbai,CSE,5
